City/Town,County,Population,Total Case Counts,Two Week Case Counts,Average Daily Rate,Color,Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week,Testing Rate,Report Date,Start_Date,End_Date
Leverett,Franklin,"1,865",267,<5,7.7,,No Change,16532,76,2,2.63%,Lower,4075.07,2022-11-03,2022-10-16,2022-10-29
Lexington,Middlesex,"34,454",5832,42,8.7,,Lower,199563,869,45,5.18%,Lower,2522.20,2022-11-03,2022-10-16,2022-10-29
Leyden,Franklin,734,101,<5,9.7,,No Change,1127,12,1,8.33%,No Change,1634.88,2022-11-03,2022-10-16,2022-10-29
Lincoln,Middlesex,"7,014",827,6,6.1,,Higher,36237,216,6,2.78%,Higher,3079.56,2022-11-03,2022-10-16,2022-10-29
Littleton,Middlesex,"10,141",2280,22,15.5,,Lower,52488,263,22,8.37%,Lower,2593.43,2022-11-03,2022-10-16,2022-10-29
Longmeadow,Hampden,"15,853",3694,38,17.1,,Lower,92649,377,42,11.14%,Lower,2378.10,2022-11-03,2022-10-16,2022-10-29
Lowell,Middlesex,"115,554",40293,234,14.5,,Lower,581878,3120,242,7.76%,Lower,2700.04,2022-11-03,2022-10-16,2022-10-29
Ludlow,Hampden,"21,002",7085,89,30.3,,Higher,104986,733,100,13.64%,Higher,3490.14,2022-11-03,2022-10-16,2022-10-29
Lunenburg,Worcester,"11,782",2387,18,10.9,,Lower,44980,285,21,7.37%,Lower,2418.94,2022-11-03,2022-10-16,2022-10-29
Lynn,Essex,"101,253",36878,149,10.5,,Lower,529880,3599,174,4.83%,Lower,3554.46,2022-11-03,2022-10-16,2022-10-29
Lynnfield,Essex,"13,000",3641,22,12.1,,Lower,68479,343,22,6.41%,Lower,2638.46,2022-11-03,2022-10-16,2022-10-29
Malden,Middlesex,"66,263",18791,109,11.7,,Lower,397066,2087,137,6.56%,Lower,3149.57,2022-11-03,2022-10-16,2022-10-29
Manchester,Essex,"5,395",843,10,13.2,,No Change,24883,170,11,6.47%,No Change,3151.07,2022-11-03,2022-10-16,2022-10-29
Mansfield,Bristol,"23,860",5060,22,6.6,,Higher,99833,399,24,6.02%,Higher,1672.25,2022-11-03,2022-10-16,2022-10-29
Marblehead,Essex,"20,441",4574,40,14.0,,Lower,119523,601,45,7.49%,Lower,2940.17,2022-11-03,2022-10-16,2022-10-29
Marion,Plymouth,"5,347",1445,<5,5.3,,Lower,47918,143,4,2.80%,Lower,2674.40,2022-11-03,2022-10-16,2022-10-29
Marlborough,Middlesex,"41,793",12602,50,8.5,,Lower,210643,1046,57,5.45%,Lower,2502.81,2022-11-03,2022-10-16,2022-10-29
Marshfield,Plymouth,"25,825",5185,24,6.6,,Lower,92139,519,30,5.78%,Lower,2009.68,2022-11-03,2022-10-16,2022-10-29
Mashpee,Barnstable,"15,060",3167,31,14.7,,Lower,63912,497,42,8.45%,Higher,3300.13,2022-11-03,2022-10-16,2022-10-29
Mattapoisett,Plymouth,"6,508",1526,8,8.8,,Higher,28025,150,10,6.67%,Higher,2304.86,2022-11-03,2022-10-16,2022-10-29
Maynard,Middlesex,"10,746",2096,15,10.0,,Lower,51765,333,24,7.21%,Lower,3098.83,2022-11-03,2022-10-16,2022-10-29
Medfield,Norfolk,"12,799",2190,10,5.6,,Lower,64607,331,12,3.63%,Lower,2586.14,2022-11-03,2022-10-16,2022-10-29
Medford,Middlesex,"59,659",17243,99,11.9,,Lower,639186,2105,113,5.37%,No Change,3528.39,2022-11-03,2022-10-16,2022-10-29
Medway,Norfolk,"13,115",2644,15,8.2,,Lower,59383,378,17,4.50%,Lower,2882.20,2022-11-03,2022-10-16,2022-10-29
Melrose,Middlesex,"29,817",7358,47,11.3,,Lower,192189,786,59,7.51%,Lower,2636.08,2022-11-03,2022-10-16,2022-10-29
Mendon,Worcester,"6,228",1198,11,12.6,,No Change,23429,171,11,6.43%,Lower,2745.66,2022-11-03,2022-10-16,2022-10-29
Merrimac,Essex,"6,723",1167,8,8.5,,Lower,24542,162,13,8.02%,Lower,2409.64,2022-11-03,2022-10-16,2022-10-29
Methuen,Essex,"53,059",18709,112,15.1,,Lower,269286,1681,128,7.61%,Lower,3168.17,2022-11-03,2022-10-16,2022-10-29
Middleborough,Plymouth,"24,245",6317,33,9.7,,Lower,111888,704,36,5.11%,Lower,2903.69,2022-11-03,2022-10-16,2022-10-29
Middlefield,Hampshire,385,35,<5,18.6,,Higher,833,11,2,18.18%,Higher,2857.14,2022-11-03,2022-10-16,2022-10-29
Middleton,Essex,"9,779",3569,14,10.2,,Lower,55341,271,17,6.27%,Lower,2771.24,2022-11-03,2022-10-16,2022-10-29
Milford,Worcester,"30,379",8023,67,15.8,,Higher,133466,1095,71,6.48%,Higher,3604.46,2022-11-03,2022-10-16,2022-10-29
Millbury,Worcester,"13,831",3533,23,11.9,,No Change,63410,310,23,7.42%,Higher,2241.34,2022-11-03,2022-10-16,2022-10-29
Millis,Norfolk,"8,460",1460,11,9.3,,Lower,33728,208,14,6.73%,Higher,2458.63,2022-11-03,2022-10-16,2022-10-29
Millville,Worcester,"3,174",709,6,13.5,,No Change,11911,86,6,6.98%,Lower,2709.51,2022-11-03,2022-10-16,2022-10-29
Milton,Norfolk,"28,630",6880,35,8.7,,Lower,211493,749,39,5.21%,Lower,2616.14,2022-11-03,2022-10-16,2022-10-29
Monroe,Franklin,118,14,0,0.0,,No Change,234,3,0,0.00%,No Change,2542.37,2022-11-03,2022-10-16,2022-10-29
Monson,Hampden,"8,150",2172,23,20.2,,Higher,34681,284,24,8.45%,Lower,3484.66,2022-11-03,2022-10-16,2022-10-29
Montague,Franklin,"8,580",1710,22,18.3,,Lower,44905,273,26,9.52%,Lower,3181.82,2022-11-03,2022-10-16,2022-10-29
Monterey,Berkshire,"1,095",145,0,0.0,,Lower,4084,28,0,0.00%,Lower,2557.08,2022-11-03,2022-10-16,2022-10-29
Montgomery,Hampden,819,88,<5,8.7,,Lower,1485,13,1,7.69%,Lower,1587.30,2022-11-03,2022-10-16,2022-10-29
Mount Washington,Berkshire,160,21,0,0.0,,No Change,186,0,0,0.00%,No Change,0.00,2022-11-03,2022-10-16,2022-10-29
Nahant,Essex,"3,334",795,7,15.0,,Lower,20786,108,10,9.26%,Lower,3239.35,2022-11-03,2022-10-16,2022-10-29
Nantucket,Nantucket,"14,255",3770,15,7.5,,Higher,53742,237,15,6.33%,Higher,1662.57,2022-11-03,2022-10-16,2022-10-29
Natick,Middlesex,"37,006",7426,58,11.2,,Higher,214309,975,72,7.38%,Higher,2634.71,2022-11-03,2022-10-16,2022-10-29
Needham,Norfolk,"32,091",6455,39,8.7,,Lower,228031,1534,42,2.74%,Lower,4780.16,2022-11-03,2022-10-16,2022-10-29
New Ashford,Berkshire,250,27,0,0.0,,No Change,446,2,0,0.00%,No Change,800.00,2022-11-03,2022-10-16,2022-10-29
New Bedford,Bristol,"101,079",37428,207,14.6,,Lower,490828,2606,234,8.98%,Lower,2578.18,2022-11-03,2022-10-16,2022-10-29
New Braintree,Worcester,996,148,0,0.0,,Lower,3401,11,1,9.09%,Lower,1104.42,2022-11-03,2022-10-16,2022-10-29
New Marlborough,Berkshire,"1,528",191,<5,9.3,,Lower,3803,41,2,4.88%,Lower,2683.25,2022-11-03,2022-10-16,2022-10-29
New Salem,Franklin,983,141,0,0.0,,Lower,4189,19,0,0.00%,Lower,1932.86,2022-11-03,2022-10-16,2022-10-29
Newbury,Essex,"6,716",983,9,9.6,,Higher,29267,158,12,7.59%,Higher,2352.59,2022-11-03,2022-10-16,2022-10-29
Newburyport,Essex,"18,289",2949,28,10.9,,No Change,82023,380,32,8.42%,Higher,2077.75,2022-11-03,2022-10-16,2022-10-29
Newton,Middlesex,"88,923",17280,92,7.4,,Lower,1014703,3121,101,3.24%,Lower,3509.78,2022-11-03,2022-10-16,2022-10-29
Norfolk,Norfolk,"11,662",2356,15,9.2,,Higher,45111,237,15,6.33%,Higher,2032.24,2022-11-03,2022-10-16,2022-10-29
North Adams,Berkshire,"12,961",3408,43,23.7,,Lower,88107,512,47,9.18%,Lower,3950.31,2022-11-03,2022-10-16,2022-10-29
North Andover,Essex,"30,915",8225,46,10.6,,Lower,287403,792,55,6.94%,Lower,2561.86,2022-11-03,2022-10-16,2022-10-29
North Attleborough,Bristol,"30,834",6631,44,10.2,,Lower,110165,553,49,8.86%,Higher,1793.47,2022-11-03,2022-10-16,2022-10-29
North Brookfield,Worcester,"4,735",994,8,12.1,,Lower,18401,109,10,9.17%,Lower,2302.01,2022-11-03,2022-10-16,2022-10-29
North Reading,Middlesex,"15,554",4212,20,9.2,,Lower,82290,367,23,6.27%,Lower,2359.52,2022-11-03,2022-10-16,2022-10-29
Northampton,Hampshire,"29,571",6156,79,19.1,,Lower,472738,3983,83,2.08%,Higher,13469.28,2022-11-03,2022-10-16,2022-10-29
Northborough,Worcester,"15,741",3846,18,8.2,,Lower,87074,266,19,7.14%,Lower,1689.85,2022-11-03,2022-10-16,2022-10-29
Northbridge,Worcester,"16,335",4019,38,16.6,,Higher,83663,528,38,7.20%,Higher,3232.32,2022-11-03,2022-10-16,2022-10-29
Northfield,Franklin,"2,866",434,5,12.5,,Lower,14849,80,6,7.50%,Lower,2791.35,2022-11-03,2022-10-16,2022-10-29
Norton,Bristol,"19,202",4329,29,10.8,,No Change,177448,374,32,8.56%,Lower,1947.71,2022-11-03,2022-10-16,2022-10-29
Norwell,Plymouth,"11,351",2498,11,6.9,,No Change,52856,281,11,3.91%,Lower,2475.55,2022-11-03,2022-10-16,2022-10-29
Norwood,Norfolk,"31,611",7780,51,11.5,,Lower,158265,783,58,7.41%,Lower,2476.99,2022-11-03,2022-10-16,2022-10-29
Oak Bluffs,Dukes,"5,341",957,<5,4.0,,No Change,16487,96,4,4.17%,Lower,1797.42,2022-11-03,2022-10-16,2022-10-29
Oakham,Worcester,"1,851",355,<5,3.9,,Lower,7628,45,1,2.22%,Lower,2431.12,2022-11-03,2022-10-16,2022-10-29
Orange,Franklin,"7,569",1970,15,14.2,,Lower,35467,203,16,7.88%,Lower,2681.99,2022-11-03,2022-10-16,2022-10-29
Orleans,Barnstable,"6,307",974,13,14.7,,Lower,19018,195,16,8.21%,Lower,3091.80,2022-11-03,2022-10-16,2022-10-29
Otis,Berkshire,"1,634",300,0,0.0,,Lower,5574,41,1,2.44%,Lower,2509.18,2022-11-03,2022-10-16,2022-10-29
Oxford,Worcester,"13,347",3317,23,12.3,,Lower,55896,324,23,7.10%,Lower,2427.51,2022-11-03,2022-10-16,2022-10-29
Palmer,Hampden,"12,448",3510,36,20.7,,Lower,58284,463,36,7.78%,Lower,3719.47,2022-11-03,2022-10-16,2022-10-29
Paxton,Worcester,"5,004",1281,10,14.3,,Higher,54322,183,13,7.10%,Lower,3657.07,2022-11-03,2022-10-16,2022-10-29
Peabody,Essex,"54,481",17577,122,16.0,,Lower,322491,1878,141,7.51%,Lower,3447.07,2022-11-03,2022-10-16,2022-10-29
Pelham,Hampshire,"1,280",124,<5,11.2,,Lower,4491,28,2,7.14%,Lower,2187.50,2022-11-03,2022-10-16,2022-10-29
Pembroke,Plymouth,"18,361",4320,31,12.1,,No Change,71218,462,35,7.58%,Lower,2516.20,2022-11-03,2022-10-16,2022-10-29
Pepperell,Middlesex,"11,604",1989,18,11.1,,No Change,36887,221,19,8.60%,Higher,1904.52,2022-11-03,2022-10-16,2022-10-29
Peru,Berkshire,814,103,<5,8.8,,No Change,1599,11,1,9.09%,Higher,1351.35,2022-11-03,2022-10-16,2022-10-29
Petersham,Worcester,"1,194",229,<5,17.9,,Higher,5166,20,3,15.00%,Higher,1675.04,2022-11-03,2022-10-16,2022-10-29
Phillipston,Worcester,"1,726",375,<5,8.3,,Lower,5703,16,3,18.75%,Lower,927.00,2022-11-03,2022-10-16,2022-10-29
Pittsfield,Berkshire,"43,927",13740,178,28.9,,Higher,267697,1640,187,11.40%,Lower,3733.47,2022-11-03,2022-10-16,2022-10-29
Plainfield,Hampshire,633,83,0,0.0,,No Change,2453,8,0,0.00%,No Change,1263.82,2022-11-03,2022-10-16,2022-10-29
Plainville,Norfolk,"9,945",1969,17,12.2,,Lower,37309,251,19,7.57%,Lower,2523.88,2022-11-03,2022-10-16,2022-10-29
Plymouth,Plymouth,"61,217",15554,146,17.0,,Lower,277544,1744,155,8.89%,Lower,2848.88,2022-11-03,2022-10-16,2022-10-29
Plympton,Plymouth,"2,930",596,9,21.9,,Higher,10244,82,10,12.20%,Higher,2798.63,2022-11-03,2022-10-16,2022-10-29
Princeton,Worcester,"3,495",584,<5,8.2,,Lower,16035,78,5,6.41%,Lower,2231.76,2022-11-03,2022-10-16,2022-10-29
Provincetown,Barnstable,"3,664",491,<5,3.9,,Lower,15536,49,3,6.12%,Lower,1337.34,2022-11-03,2022-10-16,2022-10-29
Quincy,Norfolk,"101,636",22756,155,10.9,,Lower,507316,3033,194,6.40%,Lower,2984.18,2022-11-03,2022-10-16,2022-10-29
Randolph,Norfolk,"34,984",11393,53,10.8,,Lower,219401,1538,69,4.49%,Lower,4396.30,2022-11-03,2022-10-16,2022-10-29
Raynham,Bristol,"15,142",4372,38,17.9,,Higher,70894,597,40,6.70%,Lower,3942.68,2022-11-03,2022-10-16,2022-10-29
Reading,Middlesex,"25,518",6328,35,9.8,,Lower,132848,669,37,5.53%,Lower,2621.68,2022-11-03,2022-10-16,2022-10-29
Rehoboth,Bristol,"12,502",2852,13,7.4,,Lower,38763,192,16,8.33%,Lower,1535.75,2022-11-03,2022-10-16,2022-10-29
Revere,Suffolk,"62,186",24325,85,9.8,,Lower,369980,1982,108,5.45%,Lower,3187.21,2022-11-03,2022-10-16,2022-10-29
Richmond,Berkshire,"1,407",217,<5,5.1,,Lower,5595,53,1,1.89%,Lower,3766.88,2022-11-03,2022-10-16,2022-10-29
Rochester,Plymouth,"5,717",1535,12,15.0,,Lower,23576,160,15,9.38%,Lower,2798.67,2022-11-03,2022-10-16,2022-10-29
Rockland,Plymouth,"17,803",4973,43,17.3,,Higher,89319,544,57,10.48%,Higher,3055.66,2022-11-03,2022-10-16,2022-10-29
Rockport,Essex,"6,992",1170,6,6.1,,Lower,27494,160,7,4.38%,Lower,2288.33,2022-11-03,2022-10-16,2022-10-29
Rowe,Franklin,424,71,0,0.0,,Lower,1695,14,0,0.00%,Lower,3301.89,2022-11-03,2022-10-16,2022-10-29
Rowley,Essex,"6,161",1177,<5,4.6,,Lower,28710,198,4,2.02%,Lower,3213.76,2022-11-03,2022-10-16,2022-10-29
Royalston,Worcester,"1,250",259,0,0.0,,Lower,5099,15,0,0.00%,Lower,1200.00,2022-11-03,2022-10-16,2022-10-29
Russell,Hampden,"1,643",450,<5,13.0,,Lower,7093,45,3,6.67%,Lower,2738.89,2022-11-03,2022-10-16,2022-10-29
Rutland,Worcester,"9,049",2196,15,11.8,,Lower,44238,267,16,5.99%,Lower,2950.60,2022-11-03,2022-10-16,2022-10-29
Salem,Essex,"44,480",13523,93,14.9,,Lower,305077,1565,104,6.65%,Lower,3518.44,2022-11-03,2022-10-16,2022-10-29
Salisbury,Essex,"9,236",1686,11,8.5,,Lower,29330,198,12,6.06%,Lower,2143.79,2022-11-03,2022-10-16,2022-10-29
Sandisfield,Berkshire,989,222,<5,7.2,,Higher,5983,20,1,5.00%,Higher,2022.24,2022-11-03,2022-10-16,2022-10-29
Sandwich,Barnstable,"20,259",4308,45,15.9,,Lower,78233,555,51,9.19%,Lower,2739.52,2022-11-03,2022-10-16,2022-10-29
Saugus,Essex,"28,619",10062,52,13.0,,Lower,168287,922,58,6.29%,Lower,3221.64,2022-11-03,2022-10-16,2022-10-29
Savoy,Berkshire,645,135,<5,22.1,,Higher,2728,13,2,15.38%,Higher,2015.50,2022-11-03,2022-10-16,2022-10-29
Scituate,Plymouth,"19,063",3561,24,9.0,,Lower,79589,366,27,7.38%,Lower,1919.95,2022-11-03,2022-10-16,2022-10-29
Seekonk,Bristol,"15,531",3509,23,10.6,,Lower,43189,232,30,12.93%,Lower,1493.79,2022-11-03,2022-10-16,2022-10-29
Sharon,Norfolk,"18,575",3647,22,8.5,,Lower,97722,404,25,6.19%,Lower,2174.97,2022-11-03,2022-10-16,2022-10-29
Sheffield,Berkshire,"3,327",634,<5,8.6,,Lower,28067,95,4,4.21%,Lower,2855.43,2022-11-03,2022-10-16,2022-10-29
Shelburne,Franklin,"1,884",289,8,30.3,,No Change,17989,134,9,6.72%,Lower,7112.53,2022-11-03,2022-10-16,2022-10-29
Sherborn,Middlesex,"4,401",714,<5,4.9,,No Change,22133,90,3,3.33%,Lower,2044.99,2022-11-03,2022-10-16,2022-10-29
Shirley,Middlesex,"7,431",1956,11,10.6,,Higher,28482,178,11,6.18%,Higher,2395.37,2022-11-03,2022-10-16,2022-10-29
Shrewsbury,Worcester,"38,325",9424,66,12.3,,Lower,205396,903,73,8.08%,Lower,2356.16,2022-11-03,2022-10-16,2022-10-29
Shutesbury,Franklin,"1,717",186,<5,4.2,,Higher,11076,63,1,1.59%,Higher,3669.19,2022-11-03,2022-10-16,2022-10-29
Somerset,Bristol,"18,303",5415,37,14.4,,Lower,81959,369,41,11.11%,Higher,2016.06,2022-11-03,2022-10-16,2022-10-29
Somerville,Middlesex,"81,045",20529,124,10.9,,Lower,1040332,2742,134,4.89%,Lower,3383.31,2022-11-03,2022-10-16,2022-10-29
South Hadley,Hampshire,"18,150",4129,28,11.0,,Lower,242864,531,32,6.03%,Lower,2925.62,2022-11-03,2022-10-16,2022-10-29
Southampton,Hampshire,"6,224",1536,14,16.1,,Lower,32362,245,15,6.12%,Lower,3936.38,2022-11-03,2022-10-16,2022-10-29
Southborough,Worcester,"10,450",2506,15,10.3,,Lower,84523,267,18,6.74%,Lower,2555.02,2022-11-03,2022-10-16,2022-10-29
Southbridge,Worcester,"17,740",5746,34,13.7,,Lower,80903,484,37,7.64%,Lower,2728.30,2022-11-03,2022-10-16,2022-10-29
Southwick,Hampden,"9,232",2222,12,9.3,,Lower,34442,207,14,6.76%,Lower,2242.20,2022-11-03,2022-10-16,2022-10-29
Spencer,Worcester,"11,992",2893,32,19.1,,No Change,51320,346,33,9.54%,Higher,2885.26,2022-11-03,2022-10-16,2022-10-29
Springfield,Hampden,"155,929",65920,418,19.1,,Lower,980762,6096,480,7.87%,Lower,3909.47,2022-11-03,2022-10-16,2022-10-29
Sterling,Worcester,"7,985",1890,13,11.6,,Lower,43904,171,16,9.36%,Lower,2141.52,2022-11-03,2022-10-16,2022-10-29
Stockbridge,Berkshire,"2,018",313,<5,7.1,,Lower,12509,94,2,2.13%,Lower,4658.08,2022-11-03,2022-10-16,2022-10-29
Stoneham,Middlesex,"23,244",6922,50,15.4,,Lower,139853,757,60,7.93%,Lower,3256.75,2022-11-03,2022-10-16,2022-10-29
Stoughton,Norfolk,"29,281",7975,47,11.5,,Higher,150224,621,51,8.21%,Higher,2120.83,2022-11-03,2022-10-16,2022-10-29
Stow,Middlesex,"7,174",1244,8,8.0,,No Change,33834,236,9,3.81%,Lower,3289.66,2022-11-03,2022-10-16,2022-10-29
Sturbridge,Worcester,"9,867",2184,12,8.7,,Lower,37408,250,13,5.20%,Lower,2533.70,2022-11-03,2022-10-16,2022-10-29
Sudbury,Middlesex,"18,934",3225,11,4.1,,Lower,98882,476,12,2.52%,Lower,2514.00,2022-11-03,2022-10-16,2022-10-29
Sunderland,Franklin,"3,663",789,6,11.7,,Lower,49075,124,6,4.84%,Lower,3385.20,2022-11-03,2022-10-16,2022-10-29
Sutton,Worcester,"9,357",2212,11,8.4,,Lower,40364,237,12,5.06%,Lower,2532.86,2022-11-03,2022-10-16,2022-10-29
Swampscott,Essex,"15,111",4014,37,17.5,,Lower,97215,500,42,8.40%,Lower,3308.85,2022-11-03,2022-10-16,2022-10-29
Swansea,Bristol,"17,144",4818,21,8.7,,Higher,67601,299,24,8.03%,Higher,1744.05,2022-11-03,2022-10-16,2022-10-29
Taunton,Bristol,"59,408",17547,99,11.9,,Lower,292920,1994,106,5.32%,Lower,3356.45,2022-11-03,2022-10-16,2022-10-29
Templeton,Worcester,"8,149",2236,15,13.1,,Higher,39264,152,16,10.53%,Higher,1865.26,2022-11-03,2022-10-16,2022-10-29
Tewksbury,Middlesex,"31,342",9217,60,13.7,,Lower,173221,1041,64,6.15%,Lower,3321.42,2022-11-03,2022-10-16,2022-10-29
Tisbury,Dukes,"4,815",1377,<5,5.9,,Lower,31969,209,4,1.91%,Lower,4340.60,2022-11-03,2022-10-16,2022-10-29
Tolland,Hampden,471,31,<5,15.2,,No Change,569,1,1,100.00%,Higher,212.31,2022-11-03,2022-10-16,2022-10-29
Topsfield,Essex,"6,569",1460,16,17.4,,Lower,36943,240,18,7.50%,Lower,3653.52,2022-11-03,2022-10-16,2022-10-29
Townsend,Middlesex,"9,127",1619,6,4.7,,Higher,30442,168,6,3.57%,Higher,1840.69,2022-11-03,2022-10-16,2022-10-29
Truro,Barnstable,"2,454",209,<5,8.7,,No Change,6055,33,3,9.09%,Higher,1344.74,2022-11-03,2022-10-16,2022-10-29
Tyngsborough,Middlesex,"12,380",3253,19,11.0,,Lower,49051,252,20,7.94%,Lower,2035.54,2022-11-03,2022-10-16,2022-10-29
Tyringham,Berkshire,427,38,0,0.0,,Lower,1132,5,0,0.00%,Lower,1170.96,2022-11-03,2022-10-16,2022-10-29
Unknown,Unknown,0,1557,19,*,,*,523506,1833,20,*,*,*,2022-11-03,2022-10-16,2022-10-29
Upton,Worcester,"8,000",1472,18,16.1,,Higher,32669,242,24,9.92%,Higher,3025.00,2022-11-03,2022-10-16,2022-10-29
Uxbridge,Worcester,"14,162",2958,20,10.1,,Lower,57007,372,21,5.65%,Lower,2626.75,2022-11-03,2022-10-16,2022-10-29
Wakefield,Middlesex,"27,090",7277,35,9.2,,Lower,148617,708,39,5.51%,Lower,2613.51,2022-11-03,2022-10-16,2022-10-29
Wales,Hampden,"1,832",358,6,23.4,,Higher,5582,63,6,9.52%,Higher,3438.86,2022-11-03,2022-10-16,2022-10-29
Walpole,Norfolk,"26,383",6247,48,13.0,,Higher,124780,607,49,8.07%,Lower,2300.72,2022-11-03,2022-10-16,2022-10-29
Waltham,Middlesex,"65,218",16423,127,13.9,,Higher,777253,2099,143,6.81%,No Change,3218.44,2022-11-03,2022-10-16,2022-10-29
Ware,Hampshire,"10,066",2809,23,16.3,,Lower,49605,392,28,7.14%,Lower,3894.30,2022-11-03,2022-10-16,2022-10-29
Wareham,Plymouth,"23,303",5730,48,14.7,,No Change,92796,612,51,8.33%,Lower,2626.27,2022-11-03,2022-10-16,2022-10-29
Warren,Worcester,"4,975",1057,7,10.1,,No Change,18481,121,7,5.79%,No Change,2432.16,2022-11-03,2022-10-16,2022-10-29
Warwick,Franklin,780,94,<5,9.2,,Higher,3046,18,1,5.56%,Higher,2307.69,2022-11-03,2022-10-16,2022-10-29
Washington,Berkshire,494,79,<5,14.5,,No Change,1647,12,1,8.33%,Lower,2429.15,2022-11-03,2022-10-16,2022-10-29
Watertown,Middlesex,"35,329",7399,64,12.9,,Higher,256025,1319,68,5.16%,Higher,3733.48,2022-11-03,2022-10-16,2022-10-29
Wayland,Middlesex,"13,943",2786,17,8.7,,No Change,88366,428,18,4.21%,Lower,3069.64,2022-11-03,2022-10-16,2022-10-29
Webster,Worcester,"17,776",5266,29,11.7,,Lower,99686,488,30,6.15%,Lower,2745.27,2022-11-03,2022-10-16,2022-10-29
Wellesley,Norfolk,"29,550",5782,40,9.7,,Higher,366318,976,42,4.30%,Higher,3302.88,2022-11-03,2022-10-16,2022-10-29
Wellfleet,Barnstable,"3,566",334,<5,4.0,,No Change,8292,61,2,3.28%,Higher,1710.60,2022-11-03,2022-10-16,2022-10-29
Wendell,Franklin,924,117,<5,7.7,,Lower,4425,20,1,5.00%,Lower,2164.50,2022-11-03,2022-10-16,2022-10-29
Wenham,Essex,"4,979",1181,6,8.6,,Lower,43556,210,7,3.33%,Lower,4217.71,2022-11-03,2022-10-16,2022-10-29
West Boylston,Worcester,"7,877",1858,9,8.2,,Lower,37247,197,9,4.57%,Lower,2500.95,2022-11-03,2022-10-16,2022-10-29
West Bridgewater,Plymouth,"7,707",2111,6,5.6,,Lower,37290,156,9,5.77%,Lower,2024.13,2022-11-03,2022-10-16,2022-10-29
West Brookfield,Worcester,"3,833",964,6,11.2,,Lower,21573,111,6,5.41%,Lower,2895.90,2022-11-03,2022-10-16,2022-10-29
West Newbury,Essex,"4,500",663,<5,3.2,,No Change,17122,131,4,3.05%,Lower,2911.11,2022-11-03,2022-10-16,2022-10-29
West Springfield,Hampden,"28,835",8870,58,14.4,,Lower,140106,885,60,6.78%,Lower,3069.19,2022-11-03,2022-10-16,2022-10-29
West Stockbridge,Berkshire,"1,343",200,<5,16.0,,No Change,6110,31,3,9.68%,Lower,2308.27,2022-11-03,2022-10-16,2022-10-29
West Tisbury,Dukes,"3,555",473,<5,8.0,,Lower,10957,37,4,10.81%,Lower,1040.79,2022-11-03,2022-10-16,2022-10-29
Westborough,Worcester,"21,567",4700,18,6.0,,Lower,116299,456,18,3.95%,Lower,2114.34,2022-11-03,2022-10-16,2022-10-29
Westfield,Hampden,"40,834",10642,95,16.6,,Higher,194395,1238,99,8.00%,Higher,3031.79,2022-11-03,2022-10-16,2022-10-29
Westford,Middlesex,"24,643",5109,49,14.2,,Higher,97414,539,54,10.02%,Higher,2187.23,2022-11-03,2022-10-16,2022-10-29
Westhampton,Hampshire,"1,622",225,0,0.0,,Lower,3888,28,0,0.00%,Lower,1726.26,2022-11-03,2022-10-16,2022-10-29
Westminster,Worcester,"8,213",1957,25,21.7,,Higher,30034,176,28,15.91%,Higher,2142.94,2022-11-03,2022-10-16,2022-10-29
Weston,Middlesex,"11,851",2134,20,12.1,,Higher,103086,339,21,6.19%,Higher,2860.52,2022-11-03,2022-10-16,2022-10-29
Westport,Bristol,"16,339",4435,25,10.9,,Lower,62620,304,26,8.55%,Lower,1860.58,2022-11-03,2022-10-16,2022-10-29
Westwood,Norfolk,"16,266",3282,23,10.1,,Lower,82363,444,23,5.18%,Lower,2729.62,2022-11-03,2022-10-16,2022-10-29
Weymouth,Norfolk,"57,437",14167,120,14.9,,Lower,262512,1771,140,7.91%,Lower,3083.38,2022-11-03,2022-10-16,2022-10-29
Whately,Franklin,"1,607",209,<5,4.4,,Lower,4955,21,1,4.76%,Lower,1306.78,2022-11-03,2022-10-16,2022-10-29
Whitman,Plymouth,"15,121",3854,19,9.0,,Lower,60432,379,26,6.86%,Higher,2506.45,2022-11-03,2022-10-16,2022-10-29
Wilbraham,Hampden,"14,613",4822,52,25.4,,Higher,103785,523,58,11.09%,Higher,3579.01,2022-11-03,2022-10-16,2022-10-29
Williamsburg,Hampshire,"2,504",469,7,20.0,,Higher,21405,139,7,5.04%,Higher,5551.12,2022-11-03,2022-10-16,2022-10-29
Williamstown,Berkshire,"7,513",1913,9,8.6,,Lower,207211,160,10,6.25%,Lower,2129.64,2022-11-03,2022-10-16,2022-10-29
Wilmington,Middlesex,"23,349",6193,54,16.5,,No Change,112968,615,57,9.27%,Lower,2633.95,2022-11-03,2022-10-16,2022-10-29
Winchendon,Worcester,"10,364",2641,14,9.6,,Lower,42825,191,15,7.85%,Lower,1842.92,2022-11-03,2022-10-16,2022-10-29
Winchester,Middlesex,"22,970",4961,29,9.0,,Higher,168244,793,34,4.29%,Higher,3452.33,2022-11-03,2022-10-16,2022-10-29
Windsor,Berkshire,831,136,0,0.0,,Lower,2696,9,0,0.00%,Lower,1083.03,2022-11-03,2022-10-16,2022-10-29
Winthrop,Suffolk,"19,316",6010,41,15.2,,Higher,133803,657,45,6.85%,Higher,3401.33,2022-11-03,2022-10-16,2022-10-29
